NU_INSCRICAO,NOTA_FINAL
848daf808904864c1ee5d51545a2539e2dcbe901,8758.55
97166da67df0908861a868cf318b277c4bdbb0da,8696.25
b733ccac4e5b7c1da0448f1dad7990ec0793b1d2,8604.900000000001
78ca18b6fea7ccd3e067b3945cf200f8686209a7,8582.0
8588b01c2ff81ad3c9ff31cd89fc094896c4aa69,8543.550000000001
19982f867b8f23a829a2f738374770708ec7f263,8504.35
17ae668ce9041105883e9db101d614f58d526f66,8492.9
3326c76719930f9838bc9ef803fe1b73a1668723,8445.2
41489fd85a5d0cb6e397fb5ebcd19d32e9265cb7,8429.75
32767c1a152919a1f72fa91afe19bb7c559f2824,8407.9
ac5057ba1f029c2c37bc55c82f3ea3e4b8bcb0ce,8393.050000000001
7c7c16a3ebd04e3b4a42e086a447a64fc6fa0996,8347.25
e9a67323f3cce292a7fd1528311470edb38f82d9,8328.55
9eaa35afce755aeef24faee5ec0e78612f52b56c,8297.1
c0bb9d9a29e686a5ef35f2443738d4bd8544a290,8279.45
c771c44232f6ae553494cf7085f2b3e515841133,8272.050000000001
4c29d5913f759e503efae77c531a713d48dfb512,8266.85
61f38d59bbcfa4897a2e14740bec95e087e2e06f,8256.7
b8912a162392742129d79ff0c625cfc02a425811,8225.6
05a0ee9c17758662d1e5a985cac6d7e0938d3a58,8210.2
